URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=1590652,Luke Donald,9e340b70-9be2-4a9e-af1f-cc443367ec1c,Luke Donald,100,73,83
http://en.wikipedia.org/?curid=53039593,1957 Big Ten Conference football season - Results and team statistics,618b803c-c447-4d1f-9edf-c9fc92f29a26,1957 Big Ten Conference football season,72,100,88
http://en.wikipedia.org/?curid=16945617,2007 Saskatchewan Roughriders Season,f69f90e0-f4c9-4aa7-a164-b227fc35ffb7,2007 Saskatchewan Roughriders season,100,87,92
http://en.wikipedia.org/?curid=26898647,List of tallest buildings in Knoxville - Tallest buildings,c205dec0-5c32-4bc6-9e5c-139aee3d2fb5,List of tallest buildings in Knoxville,79,85,82
http://en.wikipedia.org/?curid=14966667,2007 Kentucky Wildcats Football Team,ecff9dfc-276c-45f9-8349-ddff2125ca5a,2007 Kentucky Wildcats football team,100,96,97
http://en.wikipedia.org/?curid=22001559,List of tallest buildings in Memphis - Tallest buildings,dd9f3e3e-b409-476e-806b-2315f9ce5b18,List of tallest buildings in Memphis,78,95,88
http://en.wikipedia.org/?curid=11449311,1985 Tampa Bay Buccaneers Season,b2528af0-41d9-4a6d-852a-3e9e05009c92,1985 Tampa Bay Buccaneers season,100,41,64
http://en.wikipedia.org/?curid=58714066,2018 World Series of Poker Europe - Event schedule,b45854c1-621a-4792-80b5-8ca863bd04a9,2018 World Series of Poker Europe,80,99,91
http://en.wikipedia.org/?curid=1224141,E And F - Class Destroyer,aedef1fa-6e5f-4f7f-9957-b192da76d998,E and F-class destroyer,96,46,66
http://en.wikipedia.org/?curid=1678333,Dovre Line - Sections of the most inclusive use of Dovre Line (Dovrebanen),51a79dc5-8fd3-4cea-ac93-20aca7ed7c6e,Dovre Line - WikipediaWikipedia,34,100,73
