TableNum,column_number,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,key column
0,5,UNKNOWN,PERSON,UNKNOWN,datetime,UNKNOWN,,1
1,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
2,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
3,5,UNKNOWN,PERSON,UNKNOWN,datetime,UNKNOWN,,0
4,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
5,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
6,5,UNKNOWN,PERSON,UNKNOWN,WORK_OF_ART,UNKNOWN,,1
7,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
8,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
9,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,1
10,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
11,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
12,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
13,5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
14,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
15,6,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,0
